"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"114","CALL3_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.833333333333333,0
"115","CALL5_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.944444444444444,0
"116","CALM_HUMAN","AR_vs_STA",0.345123895647129,0.954795837896942,0.361463552676673,7,0.728416884469756,0.853839659279118,NA,0.766666666666667,0.0666666666666667
"117","CALR_HUMAN","AR_vs_STA",1.09259962787332,0.354808035428514,3.0794106073549,2,0.0912503129526538,0.304949115298519,NA,0.977777777777778,0.0222222222222222
"118","CAMP_HUMAN","AR_vs_STA",-0.355373195877483,0.328927656348621,-1.08039925806918,7,0.315776048884429,0.531043806675003,NA,0.875,0.25
"119","CAP7_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.9,0.0666666666666667
"120","CASPE_HUMAN","AR_vs_STA",-0.593608722125453,0.233527887018563,-2.5419179255378,1,0.238609571046707,0.472987194155993,NA,0.964285714285714,0
"121","CATA_HUMAN","AR_vs_STA",-0.16677780576763,2.91668840984798,-0.0571805357077285,2,0.959600264845218,0.974185518368753,NA,0.958333333333333,0.0138888888888889
"122","CATB_HUMAN","AR_vs_STA",-0.463733376917547,0.498591237091207,-0.930087298812106,8,0.379536200428371,0.588301792823297,NA,0.78125,0.197916666666667
"123","CATC_HUMAN","AR_vs_STA",-0.978692630185585,0.53732792290145,-1.82140660939574,9,0.101875685283484,0.316541519385229,NA,0.736111111111111,0.309027777777778
"124","CATD_HUMAN","AR_vs_STA",-1.65157114054392,0.616240389045562,-2.6800761032588,9,0.0252029247278682,0.183955368116811,NA,0.677777777777778,0.35
"125","CATG_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.805555555555556,0.0555555555555556
